epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.013,0.04391,0.10903,0.40335,0.65938,0.98769,0.94416,0.97222,0.93129,0.99566,0.93137,0.96275,0.8752,0.01818,0.04028,0.16849,0.37236,0.0670137,0.000333195,0.000333195
2,401.719,0.03847,0.09279,0.34396,0.63833,0.99463,0.94383,0.97174,0.9344,0.99706,0.93075,0.96472,0.87366,0.01793,0.04461,0.15482,0.36684,0.0340051,0.000657872,0.000657872
3,608.911,0.03661,0.08784,0.32325,0.63255,0.98997,0.94549,0.97261,0.93788,0.99707,0.93479,0.95853,0.88694,0.01667,0.03658,0.16444,0.36353,0.000987774,0.000973891,0.000973891
4,818.384,0.03604,0.08632,0.31521,0.62971,0.98572,0.94747,0.97049,0.93711,0.99253,0.94118,0.95684,0.89056,0.01994,0.03566,0.20092,0.38349,0.000961039,0.000961039,0.000961039
5,1013.46,0.03621,0.08574,0.31708,0.63178,0.99335,0.93711,0.97505,0.94046,0.99542,0.93678,0.96533,0.89082,0.01836,0.03696,0.17511,0.37357,0.000948052,0.000948052,0.000948052
6,1207.08,0.03586,0.08343,0.3119,0.62954,0.99083,0.94039,0.97334,0.93567,0.9927,0.93137,0.95956,0.87745,0.01843,0.04122,0.17741,0.3733,0.000935066,0.000935066,0.000935066
7,1403.84,0.03594,0.08545,0.31449,0.62866,0.98693,0.94767,0.97056,0.93312,0.99534,0.93725,0.95801,0.88149,0.01855,0.03714,0.1663,0.37501,0.000922079,0.000922079,0.000922079
8,1593.4,0.03569,0.08524,0.31286,0.63007,0.98953,0.94549,0.97308,0.9396,0.99583,0.93631,0.95939,0.90084,0.01577,0.03616,0.15273,0.36329,0.000909092,0.000909092,0.000909092
9,1775.08,0.03588,0.08545,0.31025,0.6289,0.9869,0.94546,0.96902,0.92924,0.99335,0.93693,0.96149,0.88473,0.01786,0.03651,0.15521,0.36521,0.000896105,0.000896105,0.000896105
10,1956.36,0.03582,0.08541,0.31374,0.62965,0.99218,0.94118,0.97024,0.93042,0.99625,0.93685,0.95834,0.88767,0.0178,0.03668,0.16825,0.37367,0.000883118,0.000883118,0.000883118
11,2137.8,0.03559,0.0844,0.31094,0.62887,0.99177,0.94533,0.97355,0.93863,0.99791,0.93596,0.9597,0.8911,0.01605,0.03675,0.14627,0.36286,0.000870131,0.000870131,0.000870131
12,2322.04,0.036,0.08557,0.31302,0.62987,0.99017,0.94828,0.97328,0.93524,0.99916,0.93699,0.9606,0.88587,0.01677,0.03658,0.1513,0.36827,0.000857144,0.000857144,0.000857144
13,2506.02,0.03588,0.08395,0.3125,0.63014,0.98763,0.9498,0.97345,0.93533,0.99444,0.93804,0.96046,0.89115,0.01765,0.03527,0.15388,0.3664,0.000844157,0.000844157,0.000844157
14,2689.48,0.03592,0.08417,0.31191,0.62845,0.99299,0.94488,0.97232,0.93493,0.99588,0.9349,0.95967,0.88983,0.01733,0.03622,0.15847,0.36771,0.000831171,0.000831171,0.000831171
15,2873.56,0.03579,0.08386,0.30989,0.62801,0.98833,0.94667,0.97504,0.94153,0.99651,0.93569,0.96277,0.89528,0.01543,0.03627,0.15261,0.36018,0.000818184,0.000818184,0.000818184
16,3058.43,0.03589,0.08433,0.31111,0.63018,0.99458,0.93584,0.97416,0.93896,0.99458,0.93537,0.96285,0.89918,0.01655,0.03621,0.15256,0.36407,0.000805197,0.000805197,0.000805197
17,3241.69,0.03504,0.08237,0.30621,0.627,0.99501,0.93853,0.97465,0.94211,0.99714,0.93451,0.96484,0.9033,0.01606,0.03598,0.15041,0.36428,0.00079221,0.00079221,0.00079221
18,3425.51,0.03536,0.08336,0.30901,0.62834,0.98408,0.94514,0.97605,0.9422,0.99749,0.93426,0.96396,0.90916,0.01517,0.03441,0.14569,0.36053,0.000779223,0.000779223,0.000779223
19,3609.1,0.03533,0.08366,0.31047,0.62821,0.9835,0.94627,0.97278,0.93701,0.99668,0.93176,0.96176,0.8996,0.01686,0.03642,0.16296,0.36765,0.000766236,0.000766236,0.000766236
20,3793.09,0.03508,0.0819,0.30575,0.62775,0.98974,0.94537,0.975,0.94025,0.99568,0.93373,0.96095,0.89557,0.0157,0.03536,0.14654,0.36121,0.000753249,0.000753249,0.000753249
21,3978.06,0.03543,0.0835,0.30974,0.62779,0.99204,0.94392,0.97347,0.94025,0.99791,0.93493,0.96154,0.90147,0.01496,0.03488,0.13511,0.3604,0.000740262,0.000740262,0.000740262
22,4161.87,0.03501,0.08351,0.30598,0.62949,0.98797,0.94784,0.97357,0.94139,0.99666,0.93608,0.96437,0.9012,0.01563,0.03436,0.13644,0.3614,0.000727275,0.000727275,0.000727275
23,4345.32,0.03483,0.08149,0.30105,0.62667,0.98936,0.94745,0.97485,0.94209,0.99561,0.93882,0.96163,0.90613,0.01514,0.0354,0.14039,0.35934,0.000714289,0.000714289,0.000714289
24,4529.1,0.03472,0.08089,0.30132,0.62841,0.99078,0.9451,0.97366,0.94178,0.99254,0.93865,0.96327,0.89945,0.01507,0.03478,0.13646,0.36114,0.000701302,0.000701302,0.000701302
25,4713.12,0.03484,0.08218,0.30252,0.62664,0.99339,0.94272,0.9746,0.94127,0.99501,0.93796,0.9641,0.90354,0.01543,0.03354,0.14472,0.35987,0.000688315,0.000688315,0.000688315
26,4897.25,0.03485,0.08241,0.30315,0.6261,0.99093,0.94298,0.9744,0.94336,0.9946,0.93725,0.9649,0.90181,0.01484,0.03307,0.13545,0.35983,0.000675328,0.000675328,0.000675328
27,5080.99,0.03446,0.08026,0.29936,0.62549,0.99138,0.94737,0.97565,0.94259,0.99404,0.93569,0.96197,0.90548,0.01478,0.03448,0.13486,0.35737,0.000662341,0.000662341,0.000662341
28,5265.09,0.03443,0.08191,0.30138,0.62674,0.98812,0.94565,0.97586,0.94356,0.99542,0.9377,0.96514,0.91126,0.01428,0.03329,0.13171,0.3575,0.000649354,0.000649354,0.000649354
29,5449.42,0.0345,0.08099,0.29882,0.62711,0.99422,0.94372,0.9755,0.9456,0.9957,0.93686,0.96543,0.90367,0.01454,0.0342,0.1299,0.35782,0.000636367,0.000636367,0.000636367
30,5633.89,0.0343,0.0808,0.29728,0.62652,0.99261,0.94778,0.9766,0.94447,0.99625,0.93686,0.96399,0.89903,0.01485,0.03557,0.12863,0.3618,0.00062338,0.00062338,0.00062338
31,5817.64,0.03436,0.0801,0.29738,0.62598,0.99372,0.94863,0.97528,0.94274,0.99341,0.93843,0.96222,0.90327,0.01449,0.03342,0.13163,0.36002,0.000610394,0.000610394,0.000610394
32,6001.34,0.0342,0.07995,0.29361,0.62385,0.99343,0.94931,0.97751,0.94682,0.99667,0.93774,0.96665,0.91085,0.01511,0.03357,0.13544,0.36304,0.000597407,0.000597407,0.000597407
33,6186.39,0.03432,0.08147,0.29901,0.62604,0.99425,0.94627,0.9763,0.94672,0.99349,0.93882,0.96154,0.90825,0.01497,0.03268,0.13661,0.3595,0.00058442,0.00058442,0.00058442
34,6370.38,0.03369,0.07966,0.29032,0.62354,0.99273,0.94902,0.97709,0.94543,0.99666,0.93527,0.96299,0.90514,0.01588,0.03373,0.14048,0.36267,0.000571433,0.000571433,0.000571433
35,6554.39,0.03365,0.07905,0.29249,0.62356,0.99133,0.94549,0.97671,0.94536,0.99457,0.93436,0.96104,0.90415,0.01492,0.03358,0.13288,0.36303,0.000558446,0.000558446,0.000558446
36,6738.62,0.03385,0.07874,0.29257,0.62414,0.98734,0.95059,0.97517,0.94586,0.99707,0.93529,0.96431,0.90617,0.01486,0.03412,0.14463,0.36415,0.000545459,0.000545459,0.000545459
37,6922.56,0.03356,0.07841,0.29049,0.62282,0.98938,0.94953,0.97631,0.94638,0.99459,0.93744,0.96445,0.90699,0.01451,0.03308,0.13381,0.3614,0.000532472,0.000532472,0.000532472
38,7107.36,0.03381,0.07973,0.29177,0.62462,0.99206,0.94941,0.97628,0.94551,0.99832,0.93355,0.96568,0.90757,0.01468,0.03504,0.13401,0.35945,0.000519485,0.000519485,0.000519485
39,7291.49,0.03346,0.07757,0.28967,0.62383,0.99096,0.95412,0.97626,0.94547,0.99883,0.93451,0.96297,0.90622,0.01509,0.03273,0.13891,0.3616,0.000506498,0.000506498,0.000506498
40,7475.64,0.0332,0.07781,0.28575,0.62197,0.99223,0.95124,0.9768,0.94739,0.99949,0.93412,0.96522,0.90783,0.01512,0.03391,0.13978,0.36411,0.000493512,0.000493512,0.000493512
41,7660.09,0.03409,0.08113,0.29531,0.62545,0.99222,0.9497,0.9765,0.94746,0.99916,0.93528,0.96197,0.90878,0.01436,0.03301,0.13047,0.35927,0.000480525,0.000480525,0.000480525
42,7843.98,0.03343,0.07884,0.29006,0.62274,0.98979,0.95005,0.97612,0.94727,0.99832,0.93455,0.96163,0.90561,0.01432,0.03365,0.1313,0.35903,0.000467538,0.000467538,0.000467538
43,8028.15,0.03364,0.07875,0.29046,0.62386,0.99275,0.95098,0.97545,0.94582,0.99898,0.93255,0.96255,0.90769,0.01414,0.03332,0.12626,0.35785,0.000454551,0.000454551,0.000454551
44,8211.92,0.03375,0.07924,0.29159,0.6249,0.99006,0.95137,0.97691,0.94601,0.99958,0.9346,0.96504,0.9098,0.01458,0.03364,0.12891,0.35805,0.000441564,0.000441564,0.000441564
45,8396.29,0.03342,0.0792,0.28899,0.62321,0.99267,0.95098,0.97738,0.94681,0.99398,0.93804,0.9654,0.91498,0.01407,0.03291,0.12228,0.35611,0.000428577,0.000428577,0.000428577
46,8580.16,0.03315,0.07642,0.28529,0.62168,0.98982,0.95292,0.97674,0.94797,0.99952,0.93255,0.96591,0.90996,0.01417,0.03352,0.12646,0.35579,0.00041559,0.00041559,0.00041559
47,8763.91,0.03282,0.0764,0.28387,0.62062,0.99055,0.95412,0.97702,0.94757,0.99791,0.93556,0.96456,0.91044,0.01418,0.03351,0.12325,0.35699,0.000402603,0.000402603,0.000402603
48,8948.38,0.03306,0.07817,0.28674,0.62349,0.991,0.94993,0.97682,0.94857,0.99825,0.93608,0.96497,0.90936,0.01465,0.03209,0.13253,0.35973,0.000389616,0.000389616,0.000389616
49,9132.19,0.03276,0.07697,0.28241,0.61974,0.99022,0.95256,0.97718,0.94794,0.99874,0.93469,0.96372,0.90783,0.01458,0.03173,0.13105,0.3589,0.00037663,0.00037663,0.00037663
50,9316.05,0.03274,0.07668,0.28264,0.62057,0.99141,0.95051,0.97712,0.94857,0.99708,0.93781,0.96312,0.90806,0.01418,0.03214,0.12942,0.35842,0.000363643,0.000363643,0.000363643
51,9499.86,0.03305,0.0765,0.28439,0.62191,0.99021,0.9519,0.97734,0.94969,0.99589,0.93765,0.96512,0.91106,0.01398,0.03255,0.12532,0.3573,0.000350656,0.000350656,0.000350656
52,9683.95,0.03282,0.07683,0.28259,0.62111,0.98859,0.95176,0.97702,0.94809,0.99509,0.93922,0.96577,0.91064,0.01397,0.03258,0.12228,0.35716,0.000337669,0.000337669,0.000337669
53,9868.56,0.0327,0.07783,0.28281,0.62125,0.99067,0.95216,0.977,0.94844,0.99585,0.93998,0.96617,0.91237,0.01422,0.03243,0.12414,0.35794,0.000324682,0.000324682,0.000324682
54,10052.8,0.0323,0.07595,0.27847,0.62001,0.99198,0.95137,0.97699,0.94811,0.99544,0.94115,0.96587,0.90982,0.0143,0.03258,0.12287,0.35686,0.000311695,0.000311695,0.000311695
55,10236.7,0.03256,0.0755,0.27711,0.62037,0.99133,0.9502,0.97666,0.94769,0.99392,0.94118,0.96632,0.91112,0.01413,0.03216,0.12547,0.35743,0.000298708,0.000298708,0.000298708
56,10420.7,0.03239,0.07686,0.27861,0.6201,0.99141,0.95041,0.97715,0.94838,0.99786,0.93647,0.96646,0.91245,0.01391,0.03172,0.12355,0.35739,0.000285721,0.000285721,0.000285721
57,10604.8,0.03217,0.0749,0.27523,0.61955,0.98902,0.95137,0.97722,0.94885,0.99583,0.93843,0.96632,0.91361,0.01354,0.03185,0.11932,0.35562,0.000272735,0.000272735,0.000272735
58,10789.1,0.03229,0.07523,0.27649,0.61875,0.99177,0.95098,0.97756,0.94783,0.99372,0.94314,0.96545,0.91428,0.01367,0.03116,0.12103,0.35659,0.000259748,0.000259748,0.000259748
59,10973,0.032,0.07564,0.27663,0.61966,0.99062,0.95243,0.97752,0.94812,0.9952,0.94392,0.96605,0.91322,0.01372,0.03131,0.12078,0.35759,0.000246761,0.000246761,0.000246761
60,11156.8,0.032,0.07529,0.27473,0.61861,0.99022,0.95285,0.97734,0.94931,0.99544,0.94147,0.96569,0.91433,0.01376,0.03152,0.12286,0.3576,0.000233774,0.000233774,0.000233774
61,11340.8,0.03195,0.07459,0.27454,0.61875,0.99244,0.95294,0.97779,0.94958,0.99667,0.93948,0.96592,0.9127,0.01398,0.03156,0.12431,0.35829,0.000220787,0.000220787,0.000220787
62,11524.8,0.03164,0.07434,0.27224,0.61777,0.98982,0.95309,0.97775,0.94881,0.99626,0.93914,0.96717,0.91347,0.01409,0.03135,0.1258,0.35807,0.0002078,0.0002078,0.0002078
63,11708.1,0.03145,0.07319,0.27001,0.61669,0.98941,0.95217,0.97756,0.94904,0.99543,0.93962,0.96685,0.91385,0.01408,0.0312,0.12573,0.35823,0.000194813,0.000194813,0.000194813
